T/R 	1         	2         	3         	4         	5         	6         	7         	8         	9         	10        	11        	12        	13        	14        	15        	16        	17        	18        	19        	20        	21        	22        	23        	24        	25
53  	    0.0001011794	    0.0000955996	    0.0000943615	    0.0006683082	1.83639855498E+6	    0.0000726703	    0.0000752280	    0.0002587284	    0.0002700948	    0.0001349092	    0.0002231122	    0.0001585560	    0.0206591193	    0.0099169298	    0.0001128516	    0.0001510447	    0.0001419789	    0.0001119212	    0.0001082682	    0.0001059861	    0.0001054357	    0.0001051187	    0.0001135778	    0.0001056626	    0.0001056754
54  	    0.0001088631	    0.0001035548	    0.0001011562	    0.0009719096	1.74759089909E+6	    0.0000772090	    0.0000803052	    0.0002499611	    0.0002658393	    0.0001384323	    0.0002214501	    0.0001739657	    0.0141422377	    0.0076836299	    0.0001181901	    0.0001535969	    0.0001450443	    0.0001172949	    0.0001142370	    0.0001123593	    0.0001121215	    0.0001116916	    0.0001188347	    0.0001123321	    0.0001123402
55  	    0.0001178633	    0.0001128232	    0.0001088860	    0.0021848604	1.65698920271E+6	    0.0000825247	    0.0000862367	    0.0002314368	    0.0002650681	    0.0001433212	    0.0002224734	    0.0001932642	    0.0116610891	    0.0069404383	    0.0001247377	    0.0001576526	    0.0001495330	    0.0001238824	    0.0001213738	    0.0001198544	    0.0001198966	    0.0001193655	    0.0001253072	    0.0001200936	    0.0001201027
56  	    0.0001300293	    0.0001252124	    0.0001188604	    0.0195088588	1.56455721313E+6	    0.0000900903	    0.0000960790	    0.0004389309	    0.0002740158	    0.0001517216	    0.0002306491	    0.0002201756	    0.0095272041	    0.0065237079	    0.0001341951	    0.0001657505	    0.0001577546	    0.0001333676	    0.0001313160	    0.0001300867	    0.0001303906	    0.0001297503	    0.0001347099	    0.0001305798	    0.0001305968
57  	    0.0001396108	    0.0001351398	    0.0001278629	    0.0244531682	1.39313138899E+6	    0.0000944369	    0.0001009812	    0.0007241800	    0.0002684178	    0.0001566768	    0.0002289397	    0.0002404833	    0.0065736100	    0.0044792750	    0.0001412334	    0.0001694364	    0.0001621308	    0.0001404600	    0.0001389501	    0.0001380413	    0.0001385597	    0.0001378600	    0.0001416684	    0.0001387495	    0.0001387676
58  	    0.0001493134	    0.0001455004	    0.0001375231	1.40176111526E+6	    0.0107351493	    0.0000996738	    0.0001059997	    0.0009886280	    0.0002625232	    0.0001617073	    0.0002269982	    0.0002618174	    0.0035658919	    0.0027914015	    0.0001483236	    0.0001731486	    0.0001665671	    0.0001476015	    0.0001465855	    0.0001459512	    0.0001466389	    0.0001459036	    0.0001486823	    0.0001468390	    0.0001468579
59  	    0.0001571154	    0.0001540920	    0.0001461899	1.36221504094E+6	    0.0030012314	    0.0001050271	    0.0001101137	    0.0002332909	    0.0002517658	    0.0001647779	    0.0002212976	    0.0002780002	    0.0018245013	    0.0015904210	    0.0001536461	    0.0001746256	    0.0001689382	    0.0001529858	    0.0001524203	    0.0001520219	    0.0001528224	    0.0001520898	    0.0001539265	    0.0001530321	    0.0001530508
60  	    0.0001668814	    0.0001645479	    0.0001566161	1.32186963962E+6	    0.0017309955	    0.0001123983	    0.0001165743	    0.0029188077	    0.0002474342	    0.0001702744	    0.0002203710	    0.0002984846	    0.0012981120	    0.0011828881	    0.0001609082	    0.0001789012	    0.0001738963	    0.0001603037	    0.0001601093	    0.0001598947	    0.0001608054	    0.0001600655	    0.0001611288	    0.0001610187	    0.0001610442
61  	    0.0001780458	    0.0001763402	    0.0001684687	1.28070919468E+6	    0.0012349925	    0.0001211845	    0.0001245356	    0.0161759000	    0.0002467480	    0.0001774723	    0.0002222997	    0.0003196503	    0.0010432600	    0.0009754184	    0.0001695706	    0.0001850879	    0.0001806494	    0.0001690205	    0.0001691462	    0.0001690813	    0.0001701059	    0.0001693494	    0.0001697449	    0.0001703182	    0.0001703532
62  	    0.0001874081	    0.0001862793	    0.0001792954	1.23871727319E+6	    0.0009371547	    0.0001288771	    0.0001289744	    0.0102669895	    0.0002435127	    0.0001833518	    0.0002221026	    0.0003372828	    0.0008505822	    0.0008096629	    0.0001769292	    0.0001898541	    0.0001860508	    0.0001764423	    0.0001768454	    0.0001769024	    0.0001780154	    0.0001772608	    0.0001770627	    0.0001782169	    0.0001782578
